stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code
Györ,292973,69571,47.68198,17.63479,,
Gäufelden,,381485,48.559715,8.850103,1,
Gäufelden,381485,425350,48.55966,8.850308,,
Göppingen,,657366,48.700027,9.652029,1,
Göppingen,657366,96020,48.700027,9.651969,,
Göttingen,,59429,51.53672,9.925875,1,
Göttingen,59429,307630,51.53674,9.925647,,
Göttingen,59429,316010,51.536682,9.926424,,
Göttingen,59429,325378,51.536713,9.926303,,
Göttingen,59429,393972,51.536865,9.92561,,
Göttingen,59429,410923,51.536587,9.925826,,
Göttingen,59429,450678,51.53667,9.925681,,
Göttingen,59429,547586,51.53698,9.925599,,
Günzburg,,414715,48.460564,10.27926,1,
Günzburg,414715,667630,48.460564,10.279262,,
Gütersloh Hbf,300993,66699,51.90694,8.385071,,
"Gütersloh, Hbf/ZOB",,300993,51.907433,8.384048,1,
Hagen Hbf,,246300,51.361965,7.461802,1,
Hagen Hbf,246300,601191,51.362747,7.460249,,
Halle(Saale)Hbf,,80585,51.47751,11.987085,1,
Halle(Saale)Hbf,80585,248651,51.477142,11.988049,,8
Halle(Saale)Hbf,80585,324607,51.47751,11.987085,,
Halle(Saale)Hbf,80585,325269,51.477177,11.988167,,9
Halle(Saale)Hbf,80585,551748,51.476925,11.9872,,6
Halle(Saale)Hbf,80585,70689,51.476955,11.987331,,7
Hamburg Dammtor,524910,25903,53.560753,9.989566,,
Hamburg Hbf,252966,195002,53.552734,10.006909,,
"Hamburg, Bergedorf",,682824,53.489857,10.205967,1,
"Hamburg, Hamburg Dammtor",,524910,53.560795,9.98941,1,
"Hamburg, Hamburg Hbf",,252966,53.552753,10.007924,1,
"Hamburg, Hamburg-Altona",,335202,53.55326,9.935412,1,
"Hamburg, Hamburg-Harburg",,434821,53.456387,9.990955,1,
Hamburg-Altona(S),335202,584608,53.551853,9.934554,,
Hamburg-Bergedorf,682824,96066,53.489834,10.206171,,
Hamburg-Harburg(S),434821,360956,53.45696,9.991454,,
"Hamm (Westf), Hauptbahnhof",,247927,51.678547,7.809172,1,
Hamm(Westf)Hbf,247927,493302,51.678078,7.807821,,
Hanau Hauptbahnhof,,307174,50.12135,8.92842,1,
Hanau Hbf,307174,57598,50.120953,8.929,,
Hannover Hauptbahnhof,,61830,52.37649,9.74107,1,
Hannover Hbf,61830,162204,52.376762,9.741021,,
Hannover Messe / Laatzen,,474322,52.317486,9.792149,1,
Hannover Messe/Laatzen,474322,317654,52.3169,9.792863,,
Hauptbahnhof,636961,409296,50.971928,11.037424,,
Hauptbahnhof (oben),,49983,48.78473,9.183172,1,
Hauptbahnhof A1,520699,598129,54.315235,10.131234,,
Hegyeshalom,,577536,47.913975,17.145296,1,
Hegyeshalom,577536,126756,47.913975,17.145296,,
Hegyeshalom(Gr),,230915,47.93826,17.095844,1,
Hegyeshalom(Gr),230915,34269,47.93826,17.095844,,
